0,1,2
20190113,1.0,10.0
20190112,1.0,10.0
20190111,0.75,6.5
20190108,1.0,10.0
20190107,0.5,9.0
20190106,1.0,7.0
20190105,0.5,2.0
20190104,1.0,10.0
20190102,0.5,8.0
20181231,0.75,7.25
20181228,1.0,10.0
20181226,1.0,10.0
20181225,0.5,10.0
20181224,1.0,10.0
20181223,0.75,8.5
20181221,1.0,10.0
20181219,0.0,9.5
20181217,1.0,10.0
20181216,1.0,10.0
20181215,0.5,8.0
20181214,1.0,8.0
20181213,1.0,9.5
20181212,0.5,10.0
20181211,0.875,9.5
20181209,0.8333333333333334,8.666666666666666
20181208,0.5,7.0
20181207,1.0,10.0
20181205,1.0,9.0
20181204,0.5,8.0
20181203,1.0,10.0
20181201,0.0,8.0
20181130,0.3333333333333333,7.333333333333333
20181129,0.5,7.6
20181128,0.125,6.5
20181127,0.6666666666666666,8.666666666666666
20181126,1.0,8.0
20181125,1.0,9.0
20181124,0.7,9.4
20181123,1.0,10.0
20181122,1.0,10.0
20181121,0.5,8.0
20181120,0.0,1.0
20181119,1.0,9.0
20181118,1.0,9.5
20181117,0.8333333333333334,8.666666666666666
20181116,1.0,10.0
20181113,0.6666666666666666,7.0
20181112,1.0,10.0
20181111,0.5,5.0
20181110,1.0,10.0
20181109,0.0,10.0
20181108,0.75,6.0
20181107,1.0,10.0
20181106,0.75,10.0
20181105,0.5,4.0
20181104,0.75,8.5
20181103,1.0,10.0
20181102,0.8,8.8
20181101,0.3333333333333333,5.0
20181027,0.625,7.25
20181026,0.0,5.0
20181024,0.0,7.0
20181023,0.0,4.0
20181022,0.75,8.0
20181021,0.75,9.0
20181020,0.6666666666666666,9.666666666666666
20181019,0.75,8.5
20181018,0.375,8.5
20181016,0.5,10.0
20181015,0.0,1.0
20181014,0.0,2.0
20181013,0.5,5.5
20181012,1.0,10.0
20181011,0.5,6.0
20181007,1.0,10.0
20181004,1.0,10.0
20181001,0.75,9.5
20180929,0.5,10.0
20180928,0.0,1.0
20180927,0.5,8.0
20180926,0.5,7.0
20180925,0.0,2.0
20180924,0.75,8.0
20180923,0.375,7.25
20180915,1.0,8.0
20180914,0.0,6.0
20180913,1.0,9.0
20180912,1.0,10.0
20180911,1.0,10.0
20180909,0.0,1.5
20180908,1.0,10.0
20180906,1.0,8.0
20180905,1.0,10.0
20180902,0.5,7.0
20180901,1.0,1.0
20180830,1.0,10.0
20180829,1.0,10.0
20180828,0.8333333333333334,9.6
20180827,1.0,10.0
20180826,0.9,8.2
20180825,0.3333333333333333,7.0
20180824,0.75,10.0
20180823,0.75,6.5
20180821,0.0,1.0
20180820,1.0,7.0
20180818,0.7,7.2
20180817,0.0,1.5
20180816,0.75,10.0
20180815,0.25,5.5
20180812,1.0,8.0
20180811,1.0,10.0
20180810,0.5,5.125
20180808,0.5,7.5
20180806,1.0,9.8
20180805,0.8333333333333334,9.666666666666666
20180804,1.0,7.0
20180802,0.8333333333333334,8.666666666666666
20180801,0.5,4.0
20180731,0.7333333333333333,8.733333333333333
20180730,0.0,8.0
20180729,0.5,7.888888888888889
20180728,0.6666666666666666,8.333333333333334
20180727,0.75,9.0
20180726,0.75,8.5
20180723,1.0,10.0
20180722,0.6388888888888888,7.333333333333333
20180720,0.5,9.0
20180717,0.5,10.0
20180716,0.4166666666666667,5.166666666666667
20180715,1.0,7.0
20180713,0.5,10.0
20180712,1.0,9.0
20180711,1.0,9.0
20180709,0.16666666666666666,4.0
20180708,1.0,10.0
20180707,0.5,7.0
20180705,1.0,8.0
20180704,1.0,1.0
20180701,0.75,9.25
20180630,0.5,10.0
20180629,0.5,9.5
20180627,1.0,9.75
20180624,0.5,9.0
20180623,1.0,10.0
20180621,1.0,8.0
20180620,1.0,10.0
20180619,1.0,9.5
20180617,0.0,3.0
20180615,0.6666666666666666,5.333333333333333
20180614,0.75,7.0
20180613,0.6666666666666666,7.666666666666667
20180611,0.5,4.0
20180610,1.0,10.0
20180609,0.75,8.75
20180606,0.3,7.2
20180605,0.0,1.0
20180604,0.6666666666666666,9.333333333333334
20180603,1.0,10.0
20180602,0.5555555555555556,7.888888888888889
20180601,0.25,10.0
20180531,1.0,10.0
20180530,0.75,9.0
20180529,0.5,6.333333333333333
20180528,0.3333333333333333,8.333333333333334
20180527,0.0,4.0
20180526,1.0,9.5
20180525,0.75,7.75
20180524,0.0,10.0
20180523,0.3333333333333333,5.0
20180522,0.7142857142857143,8.571428571428571
20180521,0.6666666666666666,5.666666666666667
20180520,0.5833333333333334,8.666666666666666
20180519,1.0,7.333333333333333
20180518,0.75,7.0
20180517,0.0,8.0
20180516,0.5,7.0
20180515,0.375,5.75
20180514,0.3333333333333333,6.666666666666667
20180513,0.5,10.0
20180512,1.0,8.666666666666666
20180511,0.0,8.0
20180510,0.5,6.333333333333333
20180509,0.3333333333333333,6.0
20180508,0.6666666666666666,7.666666666666667
20180507,0.5,9.5
20180506,0.625,6.25
20180505,0.5,8.5
20180504,0.8,9.4
20180503,0.5,7.0
20180502,0.3333333333333333,6.666666666666667
20180501,0.75,7.625
20180430,0.5,6.333333333333333
20180429,0.875,9.75
20180428,0.8333333333333334,8.166666666666666
20180426,0.9,7.6
20180425,1.0,7.5
20180424,0.5,9.5
20180423,0.5,9.75
20180422,0.3333333333333333,7.666666666666667
20180421,0.16666666666666666,5.333333333333333
20180420,0.4,7.4
20180419,0.5,10.0
20180418,0.75,6.5
20180417,1.0,9.0
20180416,0.9,8.4
20180415,0.8333333333333334,9.11111111111111
20180414,0.5833333333333334,8.166666666666666
20180413,1.0,10.0
20180412,1.0,8.333333333333334
20180411,0.375,7.0
20180410,0.75,7.5
20180409,0.8,9.6
20180408,0.6428571428571429,7.714285714285714
20180407,1.0,10.0
20180406,1.0,9.0
20180405,0.6,8.2
